Day,Portfolio_Value
0,100000.0
1,100000.0
2,100000.0
3,100855.01162000002
4,101270.64162000001
5,101873.07162
6,101690.94162000001
7,101648.91162000001
8,101582.21935000001
9,101582.21935000001
10,101582.21935000001
11,101582.21935000001
12,101582.21935000001
13,101582.21935000001
14,101582.21935000001
15,101582.21935000001
16,101582.21935000001
17,101582.21935000001
18,101582.21935000001
19,101582.21935000001
20,101582.21935000001
21,101582.21935000001
22,101582.21935000001
23,101582.21935000001
24,101582.21935000001
25,101582.21935000001
26,101582.21935000001
27,101582.21935000001
28,101582.21935000001
29,101582.21935000001
30,101582.21935000001
31,101582.21935000001
32,101582.21935000001
33,101582.21935000001
34,101582.21935000001
35,101582.21935000001
36,101582.21935000001
37,101582.21935000001
38,101582.21935000001
39,101582.21935000001
40,101582.21935000001
41,102960.23234000002
42,105090.49234000003
43,104867.36234000002
44,104442.15234000002
45,103633.83234000002
46,103565.69770000002
47,103565.69770000002
48,103565.69770000002
49,103565.69770000002
50,103565.69770000002
51,103565.69770000002
52,103565.69770000002
53,103565.69770000002
54,103565.69770000002
55,103061.71630000001
56,102519.61630000002
57,103783.21630000003
58,104816.71630000001
59,105066.31630000002
60,104997.56710000001
61,104997.56710000001
62,104997.56710000001
63,104997.56710000001
64,104997.56710000001
65,104997.56710000001
66,104997.56710000001
67,104997.56710000001
68,104997.56710000001
69,104997.56710000001
70,104997.56710000001
71,104997.56710000001
72,104997.56710000001
73,104997.56710000001
74,104997.56710000001
75,104997.56710000001
76,104997.56710000001
77,104997.56710000001
78,104997.56710000001
79,104997.56710000001
80,104997.56710000001
81,104997.56710000001
82,104997.56710000001
83,104997.56710000001
84,104997.56710000001
85,104997.56710000001
86,104997.56710000001
87,104997.56710000001
88,104997.56710000001
89,104997.56710000001
90,104997.56710000001
91,104997.56710000001
92,104997.56710000001
93,104997.56710000001
94,104997.56710000001
95,104997.56710000001
96,104997.56710000001
97,104997.56710000001
98,104997.56710000001
99,104997.56710000001
100,104997.56710000001
101,104997.56710000001
102,104997.56710000001
103,104997.56710000001
104,104997.56710000001
105,104997.56710000001
106,104997.56710000001
107,104997.56710000001
108,104997.56710000001
109,104997.56710000001
110,104997.56710000001
111,104997.56710000001
112,104997.56710000001
113,104997.56710000001
114,104997.56710000001
115,104997.56710000001
116,104997.56710000001
117,104997.56710000001
118,104997.56710000001
119,104997.56710000001
120,104997.56710000001
121,104997.56710000001
122,104997.56710000001
123,104997.56710000001
124,104997.56710000001
125,104997.56710000001
126,104997.56710000001
127,104997.56710000001
128,104997.56710000001
129,104997.56710000001
130,104997.56710000001
131,104997.56710000001
132,104997.56710000001
133,104997.56710000001
134,104997.56710000001
135,104997.56710000001
136,104997.56710000001
137,104997.56710000001
138,104997.56710000001
139,104997.56710000001
140,104997.56710000001
141,104997.56710000001
142,104997.56710000001
143,104997.56710000001
144,104862.96070000001
145,107323.32070000001
146,105238.80070000002
147,105346.68070000001
148,105875.64070000002
149,105820.14166000001
150,105820.14166000001
151,105820.14166000001
152,105820.14166000001
153,105820.14166000001
154,105820.14166000001
155,105820.14166000001
156,105820.14166000001
157,105820.14166000001
158,105820.14166000001
159,105820.14166000001
160,105820.14166000001
161,105820.14166000001
162,105820.14166000001
163,105820.14166000001
164,105820.14166000001
165,105820.14166000001
166,105820.14166000001
167,105820.14166000001
168,105820.14166000001
169,105820.14166000001
170,105820.14166000001
171,105820.14166000001
172,105820.14166000001
173,105820.14166000001
174,105820.14166000001
175,105820.14166000001
176,105820.14166000001
177,105820.14166000001
178,105820.14166000001
179,105820.14166000001
180,105820.14166000001
181,105820.14166000001
182,105820.14166000001
183,105820.14166000001
184,105820.14166000001
185,105820.14166000001
186,105820.14166000001
187,105820.14166000001
188,105820.14166000001
189,105820.14166000001
190,105820.14166000001
191,105820.14166000001
192,105820.14166000001
193,105820.14166000001
194,105820.14166000001
195,105820.14166000001
196,105820.14166000001
197,105820.14166000001
198,105820.14166000001
199,105820.14166000001
200,105820.14166000001
201,105820.14166000001
202,105820.14166000001
203,105820.14166000001
204,105820.14166000001
205,105820.14166000001
206,105820.14166000001
207,105820.14166000001
208,105820.14166000001
209,105820.14166000001
210,105820.14166000001
211,105820.14166000001
212,105820.14166000001
213,105820.14166000001
214,105820.14166000001
215,105820.14166000001
216,105820.14166000001
217,105820.14166000001
218,105820.14166000001
219,105820.14166000001
220,105820.14166000001
221,105820.14166000001
222,105820.14166000001
223,105820.14166000001
224,105820.14166000001
225,105820.14166000001
226,105820.14166000001
227,105820.14166000001
228,105820.14166000001
229,104810.62126
230,103773.22126
231,103063.42126
232,103374.22126
233,102471.22126
234,102405.78106000001
235,102405.78106000001
236,102405.78106000001
237,102405.78106000001
238,102405.78106000001
239,102405.78106000001
240,102405.78106000001
241,102405.78106000001
242,102405.78106000001
243,102405.78106000001
244,102405.78106000001
245,102405.78106000001
246,102405.78106000001
247,102405.78106000001
248,102405.78106000001
249,102405.78106000001
250,102405.78106000001
251,102405.78106000001
252,100340.48290000002
253,102325.23290000002
254,104029.78290000002
255,104169.88290000003
256,103716.89290000002
257,103648.97709000001
258,103648.97709000001
259,103648.97709000001
260,103648.97709000001
261,103648.97709000001
262,103648.97709000001
263,103648.97709000001
264,103648.97709000001
265,103648.97709000001
266,103648.97709000001
267,103648.97709000001
268,103648.97709000001
269,103648.97709000001
270,103648.97709000001
271,103648.97709000001
272,103648.97709000001
273,103648.97709000001
274,103648.97709000001
275,103648.97709000001
276,103648.97709000001
277,103648.97709000001
278,103648.97709000001
279,103648.97709000001
280,103648.97709000001
281,103648.97709000001
282,103648.97709000001
283,103648.97709000001
284,103648.97709000001
285,103648.97709000001
286,103648.97709000001
287,103648.97709000001
288,103648.97709000001
289,103648.97709000001
290,103648.97709000001
291,103648.97709000001
292,103648.97709000001
293,103648.97709000001
294,103648.97709000001
295,103648.97709000001
296,103648.97709000001
297,103648.97709000001
298,103648.97709000001
299,103648.97709000001
300,103648.97709000001
301,103648.97709000001
302,103648.97709000001
303,103648.97709000001
304,103648.97709000001
305,103648.97709000001
306,103648.97709000001
307,103648.97709000001
308,103648.97709000001
309,103648.97709000001
310,103648.97709000001
311,103648.97709000001
312,103648.97709000001
313,103648.97709000001
314,103648.97709000001
315,103648.97709000001
316,103648.97709000001
317,103648.97709000001
318,103648.97709000001
319,103648.97709000001
320,103648.97709000001
321,103648.97709000001
322,103648.97709000001
323,103648.97709000001
324,103648.97709000001
325,103648.97709000001
326,103648.97709000001
327,103648.97709000001
328,103648.97709000001
329,103648.97709000001
330,103648.97709000001
331,103648.97709000001
332,103648.97709000001
333,103648.97709000001
334,103648.97709000001
335,103648.97709000001
336,103648.97709000001
337,103648.97709000001
338,103648.97709000001
339,103648.97709000001
340,103648.97709000001
341,103648.97709000001
342,103648.97709000001
343,103648.97709000001
344,103648.97709000001
345,103648.97709000001
346,103648.97709000001
347,103648.97709000001
348,103648.97709000001
349,103648.97709000001
350,103648.97709000001
351,103648.97709000001
352,103648.97709000001
353,103648.97709000001
354,103648.97709000001
355,103648.97709000001
356,103648.97709000001
357,103648.97709000001
358,103648.97709000001
359,103648.97709000001
360,103648.97709000001
361,103648.97709000001
362,103648.97709000001
363,103648.97709000001
364,103648.97709000001
365,103648.97709000001
366,103648.97709000001
367,103648.97709000001
368,103648.97709000001
369,103648.97709000001
370,103648.97709000001
371,103648.97709000001
372,103648.97709000001
373,103648.97709000001
374,103648.97709000001
375,103648.97709000001
376,103648.97709000001
377,103648.97709000001
378,103648.97709000001
379,103648.97709000001
380,103648.97709000001
381,103648.97709000001
382,103648.97709000001
383,103648.97709000001
384,103648.97709000001
385,103648.97709000001
386,103648.97709000001
387,103648.97709000001
388,103648.97709000001
389,103648.97709000001
390,103648.97709000001
391,103648.97709000001
392,103648.97709000001
393,103648.97709000001
394,103648.97709000001
395,103648.97709000001
396,103648.97709000001
397,103648.97709000001
398,103648.97709000001
399,103648.97709000001
400,103648.97709000001
401,103648.97709000001
402,103648.97709000001
403,103648.97709000001
404,103648.97709000001
405,103648.97709000001
406,103648.97709000001
407,103648.97709000001
408,103648.97709000001
409,103648.97709000001
410,103648.97709000001
411,103648.97709000001
412,103648.97709000001
413,103648.97709000001
414,103648.97709000001
415,103648.97709000001
416,103648.97709000001
417,103648.97709000001
418,103648.97709000001
419,103648.97709000001
420,103648.97709000001
421,103648.97709000001
422,103648.97709000001
423,103648.97709000001
424,103648.97709000001
425,103648.97709000001
426,103648.97709000001
427,103648.97709000001
428,103648.97709000001
429,103648.97709000001
430,103648.97709000001
431,103648.97709000001
432,103648.97709000001
433,103648.97709000001
434,103648.97709000001
435,103648.97709000001
436,103648.97709000001
437,103648.97709000001
438,103648.97709000001
439,103648.97709000001
440,103648.97709000001
441,103648.97709000001
442,103648.97709000001
443,103648.97709000001
444,103648.97709000001
445,103648.97709000001
446,103648.97709000001
447,103648.97709000001
448,103648.97709000001
449,103648.97709000001
450,103648.97709000001
451,103648.97709000001
452,103648.97709000001
453,103648.97709000001
454,103648.97709000001
455,103648.97709000001
456,103648.97709000001
457,103648.97709000001
458,103648.97709000001
459,103648.97709000001
460,103648.97709000001
461,103648.97709000001
462,103648.97709000001
463,103648.97709000001
464,102419.84079000002
465,102771.34079000002
466,102175.64079000002
467,102094.24079000001
468,102027.64079000002
469,101961.85849000001
470,101961.85849000001
471,101961.85849000001
472,101961.85849000001
473,101961.85849000001
474,101961.85849000001
475,101961.85849000001
476,101961.85849000001
477,101961.85849000001
478,101961.85849000001
479,101961.85849000001
480,101961.85849000001
481,101961.85849000001
482,101961.85849000001
483,101961.85849000001
484,101961.85849000001
485,101961.85849000001
486,101961.85849000001
487,101961.85849000001
488,101961.85849000001
489,101961.85849000001
490,101961.85849000001
491,101961.85849000001
492,101961.85849000001
493,101961.85849000001
494,101961.85849000001
495,101961.85849000001
496,101961.85849000001
497,101961.85849000001
498,101961.85849000001
499,101961.85849000001
500,101961.85849000001
501,101961.85849000001
502,101961.85849000001
503,101961.85849000001
504,101961.85849000001
505,101961.85849000001
506,101961.85849000001
507,101961.85849000001
508,101961.85849000001
509,101961.85849000001
510,101961.85849000001
511,101961.85849000001
512,101961.85849000001
513,101961.85849000001
514,101961.85849000001
515,101961.85849000001
516,101961.85849000001
517,101961.85849000001
518,101961.85849000001
519,101961.85849000001
520,101961.85849000001
521,101961.85849000001
522,101961.85849000001
523,101961.85849000001
524,101961.85849000001
525,101961.85849000001
526,101961.85849000001
527,101961.85849000001
528,101961.85849000001
529,101961.85849000001
530,101961.85849000001
531,101961.85849000001
532,101961.85849000001
533,101961.85849000001
534,101961.85849000001
535,101961.85849000001
536,101961.85849000001
537,101961.85849000001
538,101961.85849000001
539,101961.85849000001
540,101961.85849000001
541,101961.85849000001
542,101961.85849000001
543,101961.85849000001
544,101961.85849000001
545,101961.85849000001
546,101961.85849000001
547,101961.85849000001
548,101961.85849000001
549,101961.85849000001
550,101961.85849000001
551,101961.85849000001
552,101961.85849000001
553,101961.85849000001
554,101961.85849000001
555,101961.85849000001
556,101961.85849000001
557,101961.85849000001
558,101961.85849000001
559,101961.85849000001
560,101961.85849000001
561,101961.85849000001
562,101961.85849000001
563,101961.85849000001
564,101961.85849000001
565,101961.85849000001
566,101961.85849000001
567,101961.85849000001
568,101961.85849000001
569,101961.85849000001
570,101961.85849000001
571,101961.85849000001
572,101961.85849000001
573,101961.85849000001
574,101961.85849000001
575,101961.85849000001
576,101961.85849000001
577,101961.85849000001
578,101961.85849000001
579,101961.85849000001
580,101961.85849000001
581,101961.85849000001
582,101961.85849000001
583,101961.85849000001
584,101961.85849000001
585,101961.85849000001
586,101961.85849000001
587,101961.85849000001
588,101961.85849000001
589,101961.85849000001
590,101961.85849000001
591,101961.85849000001
592,101961.85849000001
593,101961.85849000001
594,101961.85849000001
595,101961.85849000001
596,101961.85849000001
597,101961.85849000001
598,101961.85849000001
599,101961.85849000001
600,101961.85849000001
601,101961.85849000001
602,101961.85849000001
603,101961.85849000001
604,101961.85849000001
605,101961.85849000001
606,101961.85849000001
607,101961.85849000001
608,101961.85849000001
609,101961.85849000001
610,101961.85849000001
611,101961.85849000001
612,101961.85849000001
613,101961.85849000001
614,101961.85849000001
615,101961.85849000001
616,101961.85849000001
617,101961.85849000001
618,101961.85849000001
619,101961.85849000001
620,101961.85849000001
621,101961.85849000001
622,101961.85849000001
623,101961.85849000001
624,101961.85849000001
625,101961.85849000001
626,101961.85849000001
627,101961.85849000001
628,101961.85849000001
629,101961.85849000001
630,101961.85849000001
631,101961.85849000001
632,101961.85849000001
633,101961.85849000001
634,101961.85849000001
635,101961.85849000001
636,101961.85849000001
637,101961.85849000001
638,101961.85849000001
639,101961.85849000001
640,101961.85849000001
641,101961.85849000001
642,101961.85849000001
643,101961.85849000001
644,101961.85849000001
645,101961.85849000001
646,101961.85849000001
647,101961.85849000001
648,101961.85849000001
649,101961.85849000001
650,101961.85849000001
651,101961.85849000001
652,101961.85849000001
653,101961.85849000001
654,101961.85849000001
655,101961.85849000001
656,101961.85849000001
657,101961.85849000001
658,101961.85849000001
659,101961.85849000001
660,101961.85849000001
661,101961.85849000001
662,101961.85849000001
663,101961.85849000001
664,101961.85849000001
665,101961.85849000001
666,101961.85849000001
667,101961.85849000001
668,101961.85849000001
669,101961.85849000001
670,101961.85849000001
671,101961.85849000001
672,101961.85849000001
673,101961.85849000001
674,101961.85849000001
675,101961.85849000001
676,101961.85849000001
677,101961.85849000001
678,101961.85849000001
679,101961.85849000001
680,101961.85849000001
681,101961.85849000001
682,101961.85849000001
683,101961.85849000001
684,101961.85849000001
685,101961.85849000001
686,101961.85849000001
687,101961.85849000001
688,101961.85849000001
689,101961.85849000001
690,101961.85849000001
691,101961.85849000001
692,101961.85849000001
693,101961.85849000001
694,101961.85849000001
695,101961.85849000001
696,101961.85849000001
697,101961.85849000001
698,101961.85849000001
699,101961.85849000001
700,101961.85849000001
701,101961.85849000001
702,101961.85849000001
703,101961.85849000001
704,101961.85849000001
705,101961.85849000001
706,101961.85849000001
707,101961.85849000001
708,101961.85849000001
709,101961.85849000001
710,101961.85849000001
711,101961.85849000001
712,101961.85849000001
713,101961.85849000001
714,101961.85849000001
715,101961.85849000001
716,101961.85849000001
717,101961.85849000001
718,101961.85849000001
719,101961.85849000001
720,101961.85849000001
721,101961.85849000001
722,101961.85849000001
723,101961.85849000001
724,101961.85849000001
725,101961.85849000001
726,101961.85849000001
727,101961.85849000001
728,101961.85849000001
729,101961.85849000001
730,101961.85849000001
731,101961.85849000001
732,101961.85849000001
733,101961.85849000001
734,101961.85849000001
735,101961.85849000001
736,101961.85849000001
737,101961.85849000001
738,101961.85849000001
739,101961.85849000001
740,101961.85849000001
741,101961.85849000001
742,101961.85849000001
743,101961.85849000001
744,101961.85849000001
745,101961.85849000001
746,101961.85849000001
747,101961.85849000001
748,101961.85849000001
749,101961.85849000001
750,101961.85849000001
751,101961.85849000001
752,101961.85849000001
753,101961.85849000001
754,101961.85849000001
755,101961.85849000001
756,101961.85849000001
757,101961.85849000001
758,101961.85849000001
759,101961.85849000001
760,101961.85849000001
761,101961.85849000001
762,101961.85849000001
763,101961.85849000001
764,101961.85849000001
765,101961.85849000001
766,101961.85849000001
767,101961.85849000001
768,101961.85849000001
769,101961.85849000001
770,101961.85849000001
771,101961.85849000001
772,101961.85849000001
773,101961.85849000001
774,101961.85849000001
775,101961.85849000001
776,101961.85849000001
777,101961.85849000001
778,101961.85849000001
779,101961.85849000001
780,101961.85849000001
781,101961.85849000001
782,101961.85849000001
783,101961.85849000001
784,101961.85849000001
785,101961.85849000001
786,101961.85849000001
787,101961.85849000001
788,101961.85849000001
789,101961.85849000001
790,101961.85849000001
791,101961.85849000001
792,101961.85849000001
793,101961.85849000001
794,101961.85849000001
795,101961.85849000001
796,101961.85849000001
797,101961.85849000001
798,101961.85849000001
799,101961.85849000001
800,101961.85849000001
801,101961.85849000001
802,101961.85849000001
803,101961.85849000001
804,101961.85849000001
805,101961.85849000001
806,101961.85849000001
807,101961.85849000001
808,101961.85849000001
809,101961.85849000001
810,101961.85849000001
811,101961.85849000001
812,101961.85849000001
813,101961.85849000001
814,101961.85849000001
815,101961.85849000001
816,101961.85849000001
817,101961.85849000001
818,101961.85849000001
819,101961.85849000001
820,101961.85849000001
821,101961.85849000001
822,101961.85849000001
823,101961.85849000001
824,101961.85849000001
825,101961.85849000001
826,101961.85849000001
827,101961.85849000001
828,101961.85849000001
829,101961.85849000001
830,101961.85849000001
831,101961.85849000001
832,101961.85849000001
833,101961.85849000001
834,101961.85849000001
835,101961.85849000001
836,101961.85849000001
837,101961.85849000001
838,101961.85849000001
839,101961.85849000001
840,101961.85849000001
841,101961.85849000001
842,101961.85849000001
843,101961.85849000001
844,101961.85849000001
845,101961.85849000001
846,101961.85849000001
847,101961.85849000001
848,101961.85849000001
849,101961.85849000001
850,101961.85849000001
851,101961.85849000001
852,101961.85849000001
853,101961.85849000001
854,101961.85849000001
855,101961.85849000001
856,101961.85849000001
857,101961.85849000001
858,101961.85849000001
859,101961.85849000001
860,101961.85849000001
861,101961.85849000001
862,101961.85849000001
863,101961.85849000001
864,101961.85849000001
865,101961.85849000001
866,101961.85849000001
867,101961.85849000001
868,101961.85849000001
869,101961.85849000001
870,101961.85849000001
871,101961.85849000001
872,101961.85849000001
873,101961.85849000001
874,101961.85849000001
875,101961.85849000001
876,101961.85849000001
877,101961.85849000001
878,101961.85849000001
879,101961.85849000001
880,101961.85849000001
881,101961.85849000001
882,101961.85849000001
883,101961.85849000001
884,101961.85849000001
885,101961.85849000001
886,101961.85849000001
887,101961.85849000001
888,101961.85849000001
889,101961.85849000001
890,101961.85849000001
891,101961.85849000001
892,101961.85849000001
893,101961.85849000001
894,101961.85849000001
895,101961.85849000001
896,101961.85849000001
897,101961.85849000001
898,101961.85849000001
899,101961.85849000001
900,101961.85849000001
901,101961.85849000001
902,101961.85849000001
903,101961.85849000001
904,101961.85849000001
905,101961.85849000001
906,101961.85849000001
907,101961.85849000001
908,101961.85849000001
909,101961.85849000001
910,101961.85849000001
911,101961.85849000001
912,101961.85849000001
913,101961.85849000001
914,101961.85849000001
915,101961.85849000001
916,101961.85849000001
917,101961.85849000001
918,101961.85849000001
919,101961.85849000001
920,101961.85849000001
921,101961.85849000001
922,101961.85849000001
923,101961.85849000001
924,101961.85849000001
925,101961.85849000001
926,101961.85849000001
927,101961.85849000001
928,101961.85849000001
929,101961.85849000001
930,101961.85849000001
931,101961.85849000001
932,101961.85849000001
933,101961.85849000001
934,101961.85849000001
935,101961.85849000001
936,101961.85849000001
937,101961.85849000001
938,101961.85849000001
939,101961.85849000001
940,101961.85849000001
941,101961.85849000001
942,101961.85849000001
943,101961.85849000001
944,101961.85849000001
945,101961.85849000001
946,101961.85849000001
947,101961.85849000001
948,101961.85849000001
949,101961.85849000001
950,101961.85849000001
951,101961.85849000001
952,101961.85849000001
953,101961.85849000001
954,101961.85849000001
955,101961.85849000001
956,101961.85849000001
957,101961.85849000001
958,101961.85849000001
959,101961.85849000001
960,101961.85849000001
961,101961.85849000001
962,101961.85849000001
963,101961.85849000001
964,101961.85849000001
965,101961.85849000001
966,101961.85849000001
967,101961.85849000001
968,101961.85849000001
969,101961.85849000001
970,101961.85849000001
971,101961.85849000001
