Date,Type,Signal,Price,Shares,Position_Size,Volatility,Regime,Cost,Reason,PnL,Days_Held,Return_Pct
62,OPEN,1.0,139.14,467,0.65,0.014010050007113162,sideways,64.97837999999999,,,,
67,CLOSE,,142.81,467,,,,,SIGNAL,1647.1977300000074,5.0,2.6376311628575566
100,OPEN,1.0,156.81,421,0.65,0.013648169292772395,sideways,66.01701,,,,
105,CLOSE,,161.84,421,,,,,SIGNAL,2049.4953600000003,5.0,3.207703590332245
114,OPEN,1.0,172.26,390,0.65,0.021700888501347857,bull,67.1814,,,,
119,CLOSE,,176.28,390,,,,,SIGNAL,1499.050800000004,5.0,2.333681644026475
203,OPEN,1.0,156.8,348,0.52,0.017650340715524137,bear,54.5664,,,,
208,CLOSE,,159.48,348,,,,,SIGNAL,877.1409599999924,5.0,1.7091836734693722
288,OPEN,1.0,163.62,420,0.65,0.016702294429926177,bull,68.72040000000001,,,,
293,CLOSE,,155.81,420,,,,,SIGNAL,-3345.6402000000007,5.0,-4.773255103288109
311,OPEN,1.0,142.48,467,0.65,0.02299438144490444,sideways,66.53815999999999,,,,
316,CLOSE,,145.43,467,,,,,SIGNAL,1309.734190000008,5.0,2.0704660303200617
523,OPEN,1.0,181.99,370,0.65,0.013624381400353401,bull,67.33630000000001,,,,
528,CLOSE,,177.79,370,,,,,SIGNAL,-1619.7823000000064,5.0,-2.307819110940168
