Day,Portfolio_Value
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,100000.0
55,100000.0
56,100000.0
57,100000.0
58,100000.0
59,100000.0
60,100000.0
61,100000.0
62,100000.0
63,100000.0
64,100000.0
65,100000.0
66,100000.0
67,100000.0
68,99422.6421
69,99455.4421
70,99502.5921
71,99648.1421
72,100322.5921
73,100257.34675
74,100257.34675
75,100257.34675
76,100257.34675
77,100257.34675
78,100257.34675
79,100257.34675
80,100257.34675
81,100257.34675
82,100257.34675
83,100257.34675
84,100257.34675
85,100257.34675
86,100257.34675
87,100257.34675
88,100257.34675
89,100257.34675
90,100257.34675
91,100257.34675
92,100257.34675
93,100257.34675
94,100257.34675
95,100257.34675
96,100257.34675
97,100257.34675
98,100257.34675
99,100257.34675
100,100257.34675
101,100257.34675
102,100257.34675
103,100257.34675
104,100257.34675
105,100257.34675
106,100257.34675
107,100257.34675
108,100257.34675
109,99636.30949
110,101989.20949
111,101447.94949
112,100421.22949
113,99746.04949
114,99694.63165
115,99694.63165
116,99694.63165
117,99694.63165
118,99694.63165
119,99694.63165
120,99694.63165
121,99694.63165
122,99694.63165
123,99694.63165
124,99694.63165
125,99694.63165
126,99694.63165
127,99694.63165
128,99694.63165
129,99694.63165
130,99694.63165
131,99694.63165
132,99694.63165
133,99694.63165
134,99694.63165
135,99694.63165
136,99694.63165
137,99694.63165
138,99694.63165
139,99694.63165
140,99694.63165
141,99694.63165
142,99694.63165
143,99694.63165
144,99694.63165
145,99694.63165
146,99694.63165
147,99694.63165
148,99694.63165
149,99694.63165
150,99694.63165
151,99694.63165
152,99694.63165
153,99694.63165
154,99694.63165
155,99694.63165
156,99694.63165
157,99694.63165
158,99694.63165
159,99694.63165
160,99694.63165
161,99694.63165
162,99694.63165
163,99694.63165
164,99694.63165
165,99694.63165
166,99694.63165
167,99694.63165
168,99694.63165
169,99694.63165
170,99694.63165
171,99694.63165
172,99694.63165
173,99694.63165
174,99694.63165
175,99694.63165
176,99694.63165
177,99694.63165
178,99694.63165
179,99694.63165
180,99694.63165
181,99694.63165
182,99694.63165
183,99694.63165
184,99694.63165
185,99694.63165
186,99694.63165
187,99694.63165
188,99694.63165
189,99694.63165
190,99694.63165
191,99694.63165
192,99694.63165
193,99694.63165
194,99694.63165
195,99694.63165
196,99694.63165
197,99694.63165
198,99694.63165
199,99694.63165
200,99694.63165
201,99694.63165
202,99694.63165
203,99694.63165
204,99694.63165
205,99694.63165
206,99694.63165
207,99694.63165
208,99694.63165
209,99694.63165
210,99694.63165
211,99694.63165
212,99694.63165
213,99694.63165
214,99694.63165
215,99694.63165
216,99694.63165
217,99694.63165
218,99694.63165
219,99694.63165
220,99694.63165
221,99694.63165
222,99694.63165
223,99694.63165
224,99694.63165
225,99694.63165
226,99694.63165
227,99694.63165
228,99694.63165
229,99694.63165
230,99694.63165
231,99694.63165
232,99694.63165
233,99694.63165
234,99694.63165
235,99694.63165
236,99694.63165
237,99694.63165
238,99694.63165
239,99694.63165
240,99694.63165
241,99694.63165
242,99694.63165
243,99694.63165
244,99694.63165
245,99694.63165
246,99694.63165
247,99694.63165
248,99694.63165
249,99694.63165
250,99694.63165
251,99694.63165
252,99694.63165
253,99694.63165
254,99694.63165
255,99694.63165
256,99694.63165
257,99694.63165
258,99694.63165
259,99694.63165
260,99694.63165
261,99694.63165
262,99694.63165
263,99694.63165
264,99694.63165
265,99694.63165
266,99694.63165
267,99694.63165
268,99694.63165
269,99694.63165
270,99694.63165
271,99694.63165
272,99694.63165
273,99694.63165
274,99694.63165
275,99694.63165
276,99694.63165
277,99694.63165
278,99694.63165
279,99694.63165
280,99694.63165
281,99694.63165
282,99694.63165
283,99694.63165
284,99694.63165
285,99694.63165
286,99694.63165
287,99694.63165
288,99694.63165
289,99694.63165
290,99694.63165
291,99694.63165
292,99694.63165
293,99246.59997000001
294,103215.67997
295,103095.07997
296,103183.51997000001
297,101891.75997
298,101824.70637
299,101824.70637
300,101824.70637
301,101824.70637
302,101824.70637
303,101824.70637
304,101824.70637
305,101824.70637
306,101824.70637
307,101824.70637
308,102129.83262
309,102853.08262
310,101137.08262
311,101285.58262
312,100798.83262
313,100733.66862000001
314,100733.66862000001
315,100733.66862000001
316,100733.66862000001
317,100733.66862000001
318,100733.66862000001
319,100733.66862000001
320,100733.66862000001
321,100733.66862000001
322,100733.66862000001
323,100733.66862000001
324,100733.66862000001
325,100733.66862000001
326,100733.66862000001
327,100733.66862000001
328,100733.66862000001
329,100733.66862000001
330,100733.66862000001
331,100733.66862000001
332,100733.66862000001
333,100733.66862000001
334,100733.66862000001
335,100733.66862000001
336,100733.66862000001
337,100733.66862000001
338,100733.66862000001
339,100733.66862000001
340,100733.66862000001
341,100733.66862000001
342,100733.66862000001
343,100733.66862000001
344,100733.66862000001
345,100733.66862000001
346,100733.66862000001
347,100733.66862000001
348,100733.66862000001
349,100733.66862000001
350,100733.66862000001
351,100733.66862000001
352,100733.66862000001
353,100733.66862000001
354,100733.66862000001
355,100733.66862000001
356,100733.66862000001
357,100733.66862000001
358,100733.66862000001
359,100733.66862000001
360,100733.66862000001
361,100733.66862000001
362,100733.66862000001
363,100733.66862000001
364,100733.66862000001
365,100733.66862000001
366,100733.66862000001
367,100733.66862000001
368,100733.66862000001
369,100733.66862000001
370,100733.66862000001
371,100733.66862000001
372,100733.66862000001
373,100733.66862000001
374,100733.66862000001
375,100733.66862000001
376,100733.66862000001
377,100733.66862000001
378,100733.66862000001
379,100733.66862000001
380,100733.66862000001
381,100733.66862000001
382,100733.66862000001
383,100733.66862000001
384,100733.66862000001
385,100733.66862000001
386,100733.66862000001
387,100733.66862000001
388,100733.66862000001
389,100733.66862000001
390,100733.66862000001
391,100733.66862000001
392,100733.66862000001
393,100733.66862000001
394,100733.66862000001
395,100733.66862000001
396,100733.66862000001
397,100733.66862000001
398,100733.66862000001
399,100733.66862000001
400,100733.66862000001
401,100733.66862000001
402,100733.66862000001
403,100733.66862000001
404,100733.66862000001
405,100733.66862000001
406,100733.66862000001
407,100733.66862000001
408,100733.66862000001
409,100733.66862000001
410,100733.66862000001
411,100733.66862000001
412,100733.66862000001
413,100733.66862000001
414,100733.66862000001
415,100733.66862000001
416,100733.66862000001
417,100733.66862000001
418,100733.66862000001
419,100733.66862000001
420,100733.66862000001
421,100733.66862000001
422,100733.66862000001
423,100733.66862000001
424,100733.66862000001
425,100733.66862000001
426,100733.66862000001
427,100733.66862000001
428,100733.66862000001
429,100733.66862000001
430,100733.66862000001
431,100733.66862000001
432,100733.66862000001
433,100733.66862000001
434,100733.66862000001
435,100733.66862000001
436,100733.66862000001
437,100733.66862000001
438,100733.66862000001
439,100733.66862000001
440,100733.66862000001
441,100733.66862000001
442,100733.66862000001
443,100733.66862000001
444,100733.66862000001
445,100733.66862000001
446,100733.66862000001
447,100733.66862000001
448,100733.66862000001
449,100733.66862000001
450,100733.66862000001
451,100733.66862000001
452,100733.66862000001
453,100733.66862000001
454,100733.66862000001
455,100733.66862000001
456,100733.66862000001
457,100733.66862000001
458,100733.66862000001
459,100733.66862000001
460,100733.66862000001
461,100733.66862000001
462,100733.66862000001
463,100733.66862000001
464,100733.66862000001
465,100733.66862000001
466,100733.66862000001
467,100733.66862000001
468,100733.66862000001
469,100733.66862000001
470,100733.66862000001
471,100733.66862000001
472,100733.66862000001
473,100733.66862000001
474,100733.66862000001
475,100733.66862000001
476,100733.66862000001
477,100733.66862000001
478,100733.66862000001
479,100733.66862000001
480,100733.66862000001
481,100733.66862000001
482,100733.66862000001
483,100733.66862000001
484,100733.66862000001
485,100733.66862000001
486,100733.66862000001
487,100733.66862000001
488,100733.66862000001
489,100733.66862000001
490,100733.66862000001
491,100733.66862000001
492,100733.66862000001
493,100733.66862000001
494,100733.66862000001
495,100733.66862000001
496,100733.66862000001
497,100733.66862000001
498,100733.66862000001
499,100733.66862000001
500,100733.66862000001
501,100733.66862000001
502,100733.66862000001
503,100733.66862000001
504,100733.66862000001
505,100733.66862000001
506,100733.66862000001
507,100733.66862000001
508,100733.66862000001
509,100733.66862000001
510,100733.66862000001
511,100733.66862000001
512,100733.66862000001
513,100733.66862000001
514,100733.66862000001
515,100733.66862000001
516,100733.66862000001
517,100733.66862000001
518,100733.66862000001
519,100733.66862000001
520,100733.66862000001
521,100733.66862000001
522,100733.66862000001
523,100733.66862000001
524,100733.66862000001
525,100733.66862000001
526,100733.66862000001
527,100733.66862000001
528,100733.66862000001
529,100733.66862000001
530,100733.66862000001
531,100733.66862000001
532,100733.66862000001
533,100733.66862000001
534,100733.66862000001
535,100733.66862000001
536,100733.66862000001
537,100733.66862000001
538,100733.66862000001
539,100733.66862000001
540,100733.66862000001
541,100733.66862000001
542,100733.66862000001
543,100733.66862000001
544,100733.66862000001
545,100733.66862000001
546,100733.66862000001
547,100733.66862000001
548,100733.66862000001
549,100733.66862000001
550,100733.66862000001
551,100733.66862000001
552,100733.66862000001
553,100733.66862000001
554,100733.66862000001
555,100733.66862000001
556,100733.66862000001
557,100733.66862000001
558,100733.66862000001
559,100733.66862000001
560,100733.66862000001
561,100733.66862000001
562,100733.66862000001
563,100733.66862000001
564,100733.66862000001
565,100733.66862000001
566,100733.66862000001
567,100733.66862000001
568,100733.66862000001
569,100733.66862000001
570,100733.66862000001
571,100733.66862000001
572,100733.66862000001
573,100733.66862000001
574,100733.66862000001
575,100733.66862000001
576,100733.66862000001
577,100733.66862000001
578,100733.66862000001
579,100733.66862000001
580,100733.66862000001
581,100733.66862000001
582,100733.66862000001
583,100733.66862000001
584,100733.66862000001
585,100733.66862000001
586,100733.66862000001
587,100733.66862000001
588,100733.66862000001
589,100733.66862000001
590,100733.66862000001
591,100733.66862000001
592,100733.66862000001
593,100733.66862000001
594,100733.66862000001
595,100733.66862000001
596,100733.66862000001
597,100733.66862000001
598,100733.66862000001
599,100733.66862000001
600,100733.66862000001
601,100733.66862000001
602,100733.66862000001
603,100733.66862000001
604,100733.66862000001
605,100733.66862000001
606,100733.66862000001
607,100733.66862000001
608,100733.66862000001
609,100733.66862000001
610,100733.66862000001
611,100733.66862000001
612,100733.66862000001
613,100733.66862000001
614,100733.66862000001
615,100733.66862000001
616,100733.66862000001
617,100733.66862000001
618,100733.66862000001
619,100733.66862000001
620,100733.66862000001
621,100733.66862000001
622,100733.66862000001
623,100733.66862000001
624,100733.66862000001
625,100733.66862000001
626,100733.66862000001
627,100733.66862000001
628,100733.66862000001
629,100733.66862000001
630,100733.66862000001
631,100733.66862000001
632,100733.66862000001
633,100733.66862000001
634,100733.66862000001
635,100733.66862000001
636,100733.66862000001
637,100733.66862000001
638,100733.66862000001
639,100733.66862000001
640,100733.66862000001
641,100733.66862000001
642,100733.66862000001
643,100733.66862000001
644,100733.66862000001
645,100733.66862000001
646,100733.66862000001
647,100733.66862000001
648,100733.66862000001
649,101610.74118000001
650,102097.94118000001
651,103579.70118000002
652,104735.54118000003
653,104029.94118000001
654,103961.17206000001
655,103961.17206000001
656,103961.17206000001
657,103961.17206000001
658,103961.17206000001
659,103961.17206000001
660,103961.17206000001
661,103961.17206000001
662,103961.17206000001
663,103961.17206000001
664,103961.17206000001
665,103961.17206000001
666,103961.17206000001
667,103961.17206000001
668,103961.17206000001
669,103961.17206000001
670,103961.17206000001
671,103961.17206000001
672,103961.17206000001
673,103961.17206000001
674,103961.17206000001
675,103961.17206000001
676,103961.17206000001
677,103961.17206000001
678,103961.17206000001
679,103961.17206000001
680,103961.17206000001
681,103961.17206000001
682,103961.17206000001
683,103961.17206000001
684,103961.17206000001
685,103961.17206000001
686,103961.17206000001
687,103961.17206000001
688,103961.17206000001
689,103961.17206000001
690,103961.17206000001
691,103961.17206000001
692,103961.17206000001
693,103961.17206000001
694,103961.17206000001
695,103961.17206000001
696,103961.17206000001
697,103961.17206000001
698,103961.17206000001
699,103961.17206000001
700,103961.17206000001
701,103961.17206000001
702,103961.17206000001
703,103961.17206000001
704,103961.17206000001
705,103961.17206000001
706,103961.17206000001
707,103961.17206000001
708,104999.87966000002
709,105234.93966000002
710,104621.52966000001
711,103885.75966000003
712,103686.11966000003
713,103618.96495000002
714,103618.96495000002
715,103618.96495000002
716,103618.96495000002
717,103618.96495000002
718,103618.96495000002
719,103618.96495000002
720,103618.96495000002
721,103618.96495000002
722,103618.96495000002
723,103618.96495000002
724,103618.96495000002
725,103618.96495000002
726,103618.96495000002
727,103618.96495000002
728,103618.96495000002
729,103618.96495000002
730,103618.96495000002
731,103618.96495000002
732,103618.96495000002
733,103618.96495000002
734,103618.96495000002
735,103618.96495000002
736,103618.96495000002
737,103618.96495000002
738,103618.96495000002
739,103618.96495000002
740,103618.96495000002
741,103618.96495000002
742,103618.96495000002
743,103618.96495000002
744,103618.96495000002
745,103618.96495000002
746,103618.96495000002
747,103618.96495000002
748,103618.96495000002
749,103618.96495000002
750,103618.96495000002
751,103618.96495000002
752,103618.96495000002
753,103618.96495000002
754,103618.96495000002
755,103618.96495000002
756,103618.96495000002
757,103618.96495000002
758,103618.96495000002
759,103618.96495000002
760,103618.96495000002
761,103618.96495000002
762,103618.96495000002
763,103618.96495000002
764,103618.96495000002
765,103618.96495000002
766,103618.96495000002
767,103618.96495000002
768,103618.96495000002
769,103618.96495000002
770,103618.96495000002
771,103618.96495000002
772,103618.96495000002
773,103618.96495000002
774,103618.96495000002
775,103618.96495000002
776,103618.96495000002
777,104215.21720000003
778,103900.06720000002
779,104395.06720000002
780,105833.86720000002
781,106700.11720000002
782,106629.92125000003
783,106629.92125000003
784,106629.92125000003
785,106629.92125000003
786,106629.92125000003
787,106629.92125000003
788,106629.92125000003
789,106629.92125000003
790,106629.92125000003
791,106629.92125000003
792,106629.92125000003
793,106629.92125000003
794,106629.92125000003
795,106629.92125000003
796,106629.92125000003
797,106629.92125000003
798,106629.92125000003
799,106629.92125000003
800,106629.92125000003
801,106629.92125000003
802,106629.92125000003
803,106629.92125000003
804,106629.92125000003
805,106629.92125000003
806,106629.92125000003
807,106629.92125000003
808,106629.92125000003
809,106629.92125000003
810,106629.92125000003
811,106629.92125000003
812,106629.92125000003
813,106629.92125000003
814,106629.92125000003
815,106629.92125000003
816,106629.92125000003
817,106629.92125000003
818,106629.92125000003
819,106629.92125000003
820,106629.92125000003
821,106629.92125000003
822,106629.92125000003
823,106629.92125000003
824,106629.92125000003
825,106629.92125000003
826,106629.92125000003
827,106629.92125000003
828,106629.92125000003
829,106629.92125000003
830,106629.92125000003
831,106629.92125000003
832,106629.92125000003
833,106629.92125000003
834,106629.92125000003
835,106629.92125000003
836,106629.92125000003
837,106572.30792000004
838,105880.92792000003
839,106123.07792000004
840,106276.71792000004
841,106699.22792000003
842,106629.78598000003
843,106629.78598000003
844,106629.78598000003
845,106629.78598000003
846,106629.78598000003
847,106629.78598000003
848,106629.78598000003
849,106629.78598000003
850,106629.78598000003
851,106629.78598000003
852,106629.78598000003
853,106629.78598000003
854,106629.78598000003
855,106629.78598000003
856,106629.78598000003
857,106629.78598000003
858,106629.78598000003
859,106629.78598000003
860,106629.78598000003
861,106629.78598000003
862,106629.78598000003
863,106629.78598000003
864,106629.78598000003
865,106629.78598000003
866,106629.78598000003
867,106629.78598000003
868,106629.78598000003
869,106629.78598000003
870,106629.78598000003
871,106629.78598000003
872,106629.78598000003
873,106629.78598000003
874,106629.78598000003
875,106629.78598000003
876,106629.78598000003
877,106629.78598000003
878,106629.78598000003
879,106629.78598000003
880,106629.78598000003
881,106629.78598000003
882,106629.78598000003
883,106629.78598000003
884,106629.78598000003
885,106629.78598000003
886,106629.78598000003
887,106629.78598000003
888,106629.78598000003
889,106629.78598000003
890,106629.78598000003
891,106629.78598000003
892,106629.78598000003
893,106629.78598000003
894,106629.78598000003
895,106629.78598000003
896,106629.78598000003
897,106629.78598000003
898,106629.78598000003
899,106629.78598000003
900,106629.78598000003
901,106629.78598000003
902,106629.78598000003
903,106629.78598000003
904,106629.78598000003
905,106629.78598000003
906,106629.78598000003
907,106629.78598000003
908,106629.78598000003
909,106629.78598000003
910,106629.78598000003
911,106629.78598000003
912,106629.78598000003
913,106629.78598000003
914,106629.78598000003
915,106629.78598000003
916,106629.78598000003
917,106629.78598000003
918,106629.78598000003
919,106629.78598000003
920,106629.78598000003
921,106629.78598000003
922,106629.78598000003
923,106629.78598000003
924,106629.78598000003
925,106629.78598000003
926,106629.78598000003
927,106629.78598000003
928,106629.78598000003
929,106629.78598000003
930,106629.78598000003
931,106629.78598000003
932,106629.78598000003
933,106629.78598000003
934,106629.78598000003
935,106629.78598000003
936,106629.78598000003
937,106629.78598000003
938,106629.78598000003
939,106629.78598000003
940,106629.78598000003
941,106629.78598000003
942,106629.78598000003
943,106629.78598000003
944,106629.78598000003
945,106629.78598000003
946,106629.78598000003
947,106629.78598000003
948,106629.78598000003
949,106629.78598000003
950,106629.78598000003
951,106629.78598000003
952,106629.78598000003
953,106629.78598000003
954,106629.78598000003
955,106629.78598000003
956,106629.78598000003
957,106629.78598000003
958,106629.78598000003
959,106629.78598000003
960,106629.78598000003
961,106629.78598000003
962,106629.78598000003
963,106629.78598000003
964,106629.78598000003
965,106629.78598000003
966,106629.78598000003
967,106629.78598000003
968,106629.78598000003
969,106629.78598000003
970,106629.78598000003
971,106629.78598000003
972,106629.78598000003
973,106629.78598000003
974,106629.78598000003
975,106629.78598000003
976,106629.78598000003
977,106629.78598000003
978,106629.78598000003
979,106629.78598000003
980,106629.78598000003
981,106629.78598000003
982,106629.78598000003
983,106629.78598000003
984,106629.78598000003
985,106629.78598000003
986,106629.78598000003
987,106629.78598000003
988,106629.78598000003
989,106629.78598000003
990,106629.78598000003
991,106629.78598000003
992,106629.78598000003
993,106629.78598000003
994,106629.78598000003
995,106629.78598000003
996,106629.78598000003
