Date,Type,Signal,Price,Shares,Position_Size,Volatility,Regime,Cost,Reason,PnL,Days_Held,Return_Pct
127,OPEN,1.0,316.38,205,0.65,0.018595168718278175,bull,64.8579,,,,
132,CLOSE,,318.27,205,,,,,SIGNAL,322.2046499999972,5.0,0.5973828939882297
168,OPEN,1.0,278.91,186,0.52,0.021910815982963537,bear,51.87726,,,,
173,CLOSE,,276.44,186,,,,,SIGNAL,-510.8378400000051,5.0,-0.8855903337994464
352,OPEN,1.0,241.76,268,0.65,0.026337492626551166,sideways,64.79168,,,,
357,CLOSE,,250.2,268,,,,,SIGNAL,2194.866399999999,5.0,3.491065519523495
367,OPEN,1.0,240.45,275,0.65,0.021029660873513864,sideways,66.12375,,,,
372,CLOSE,,236.96,275,,,,,SIGNAL,-1024.9139999999948,5.0,-1.451445206903712
708,OPEN,1.0,389.33,168,0.65,0.014093275242354627,sideways,65.40744,,,,
713,CLOSE,,409.34,168,,,,,SIGNAL,3292.9108799999985,5.0,5.139598797934908
767,OPEN,1.0,418.4,161,0.65,0.014751851675146284,sideways,67.3624,,,,
772,CLOSE,,417.11,161,,,,,SIGNAL,-274.84470999999417,5.0,-0.30831739961758586
836,OPEN,1.0,406.35,165,0.65,0.016102435580033426,sideways,67.04775000000001,,,,
841,CLOSE,,425.43,165,,,,,SIGNAL,3078.0040499999977,5.0,4.695459579180494
896,OPEN,1.0,414.99,167,0.65,0.021149780086870414,sideways,69.30333,,,,
901,CLOSE,,415.82,167,,,,,SIGNAL,69.16805999999734,5.0,0.20000481939324022
