symbol,date,open,high,low,close,volume,change,changePercent,vwap
MSFT,2020-09-21,197.19,202.71,196.38,202.54,39839700,5.35,2.71,199.705
MSFT,2020-09-22,205.06,208.1,202.08,207.42,33517100,2.36,1.15,205.665
MSFT,2020-09-23,207.9,208.1,200.03,200.59,30803800,-7.31,-3.52,204.155
MSFT,2020-09-24,199.85,205.57,199.2,203.19,31202500,3.34,1.67,201.9525
MSFT,2020-09-25,203.55,209.04,202.54,207.82,29437312,4.27,2.1,205.7375
MSFT,2020-09-28,210.88,212.57,208.06,209.44,32004936,-1.44,-0.68285,210.2375
MSFT,2020-09-29,209.35,210.07,206.81,207.26,24464472,-2.09,-0.99833,208.3725
MSFT,2020-09-30,207.73,211.98,206.54,210.33,33829100,2.6,1.25,209.145
MSFT,2020-10-01,213.49,213.99,211.32,212.46,27158418,-1.03,-0.48246,212.815
MSFT,2020-10-02,208.0,210.99,205.54,206.19,33154800,-1.81,-0.87019,207.68
MSFT,2020-10-05,207.22,210.41,206.98,210.38,21331600,3.16,1.52,208.7475
MSFT,2020-10-06,208.82,210.18,204.82,205.91,28554300,-2.91,-1.39,207.4325
MSFT,2020-10-07,207.06,210.11,206.72,209.83,25681100,2.77,1.34,208.43
MSFT,2020-10-08,210.51,211.19,208.32,210.58,19925837,0.07,0.03325258,210.15
MSFT,2020-10-09,211.23,215.86,211.23,215.81,26458047,4.58,2.17,213.5325
MSFT,2020-10-12,218.79,223.86,216.81,221.4,40461400,2.61,1.19,220.215
MSFT,2020-10-13,222.72,225.21,220.43,222.86,28950843,0.14,0.0628592,222.805
MSFT,2020-10-14,223.0,224.22,219.13,220.86,23451713,-2.14,-0.95964,221.8025
MSFT,2020-10-15,217.1,220.36,216.01,219.66,22733100,2.56,1.18,218.2825
MSFT,2020-10-16,220.15,222.29,219.32,219.66,26057900,-0.49,-0.22258,220.355
MSFT,2020-10-19,220.42,222.3,213.72,214.22,27625841,-6.19,-2.81,217.665
MSFT,2020-10-20,215.8,217.37,213.09,214.65,22753511,-1.15,-0.5329,215.2275
MSFT,2020-10-21,213.12,216.92,213.12,214.8,22724906,1.68,0.78829,214.49
MSFT,2020-10-22,213.93,216.06,211.7,214.89,22351500,0.96,0.44874,214.145
MSFT,2020-10-23,215.03,216.28,213.16,216.23,18879608,1.2,0.55806,215.175
MSFT,2020-10-26,213.85,216.34,208.1,210.08,37111600,-3.77,-1.76,212.0925
MSFT,2020-10-27,211.59,214.67,210.33,213.25,36700325,1.66,0.78454,212.46
MSFT,2020-10-28,207.67,208.84,202.1,202.68,51195600,-4.99,-2.4,205.3225
MSFT,2020-10-29,204.07,207.36,203.37,204.72,31432600,0.65,0.31852,204.88
MSFT,2020-10-30,203.5,204.29,199.62,202.47,36980111,-1.03,-0.50614,202.47
MSFT,2020-11-02,204.29,205.28,200.12,202.33,30842200,-1.96,-0.95942,203.005
MSFT,2020-11-03,203.89,208.12,203.12,206.43,27512030,2.54,1.25,205.39
MSFT,2020-11-04,214.02,218.32,212.42,216.39,42311800,2.37,1.11,215.2875
MSFT,2020-11-05,222.04,224.12,221.15,223.29,36080137,1.25,0.56296,222.65
MSFT,2020-11-06,222.26,224.36,218.03,223.72,25231900,1.46,0.65689,222.0925
MSFT,2020-11-09,224.44,228.12,217.88,218.39,44395000,-6.05,-2.7,222.2075
MSFT,2020-11-10,214.5,216.5,209.72,211.01,44045120,-3.49,-1.63,212.9325
MSFT,2020-11-11,212.39,218.04,212.2,216.55,29440800,4.16,1.96,214.795
MSFT,2020-11-12,217.21,219.11,214.46,215.44,21616115,-1.77,-0.81488,216.555
MSFT,2020-11-13,216.36,217.42,214.16,216.51,18630307,0.15,0.0693289,216.1125
MSFT,2020-11-16,214.87,217.74,214.52,217.23,24953344,2.36,1.1,216.09
MSFT,2020-11-17,216.1,217.68,214.08,214.46,24154112,-1.64,-0.75891,215.58
MSFT,2020-11-18,213.65,215.17,210.93,211.08,28372800,-2.57,-1.2,212.7075
MSFT,2020-11-19,211.38,213.03,209.93,212.42,24792746,1.04,0.492,211.69
MSFT,2020-11-20,212.2,213.29,210.0,210.39,22843119,-1.81,-0.85297,211.47
MSFT,2020-11-23,210.95,212.29,208.16,210.11,25683507,-0.84,-0.3982,210.3775
MSFT,2020-11-24,209.59,214.25,208.86,213.86,33979731,4.27,2.04,211.64
MSFT,2020-11-25,215.11,215.29,212.46,213.87,21012900,-1.24,-0.57645,214.1825
MSFT,2020-11-27,214.85,216.27,214.04,215.23,14512213,0.38,0.17687,215.0975
MSFT,2020-11-30,214.1,214.76,210.84,214.07,33064800,-0.03,-0.01401214,213.4425
MSFT,2020-12-01,214.51,217.32,213.35,216.21,30931318,1.7,0.7925,215.3475
MSFT,2020-12-02,214.88,215.47,212.8,215.37,23724509,0.49,0.22803,214.63
MSFT,2020-12-03,214.61,216.38,213.65,214.24,25120922,-0.37,-0.17241,214.72
MSFT,2020-12-04,214.22,215.38,213.18,214.36,24666039,0.14,0.06535338,214.285
MSFT,2020-12-07,214.37,215.54,212.99,214.29,24620000,-0.08,-0.03731865,214.2975
MSFT,2020-12-08,213.97,216.95,212.89,216.01,23284100,2.04,0.9534,214.955
MSFT,2020-12-09,215.16,215.23,211.21,211.8,32440603,-3.36,-1.56,213.35
MSFT,2020-12-10,211.77,213.08,210.36,210.52,26733300,-1.25,-0.59026,211.4325
MSFT,2020-12-11,210.05,213.32,209.11,213.26,30979440,3.21,1.53,211.435
MSFT,2020-12-14,213.1,216.21,212.88,214.2,28798400,1.1,0.51619,214.0975
MSFT,2020-12-15,215.17,215.42,212.24,214.13,27018106,-1.03,-0.48334,214.24
MSFT,2020-12-16,214.75,220.11,214.72,219.28,35023300,4.53,2.11,217.215
