symbol,date,open,high,low,close,volume,change,changePercent,vwap
TSLA,2020-09-21,151.04,151.89,135.69,149.8,328430400,-1.24,-0.82097,145.79
TSLA,2020-09-22,143.2,145.92,139.2,141.41,238742400,-1.79,-1.25,142.18
TSLA,2020-09-23,135.05,137.38,125.29,126.79,285222600,-8.26,-6.12,129.82
TSLA,2020-09-24,121.27,133.17,117.1,129.26,289683300,7.99,6.59,126.51
TSLA,2020-09-25,131.16,136.24,130.43,135.78,201625500,4.62,3.52,134.15
TSLA,2020-09-28,141.54,142.69,138.52,140.4,149158800,-1.14,-0.80543,140.54
TSLA,2020-09-29,138.67,142.83,137.2,139.69,150657900,1.02,0.73556,139.91
TSLA,2020-09-30,140.44,144.64,140.16,143.0,144436800,2.56,1.82,142.6
TSLA,2020-10-01,146.92,149.63,144.81,149.39,152224500,2.47,1.68,147.94
TSLA,2020-10-02,140.46,146.38,138.33,138.36,214290000,-2.1,-1.5,141.02
TSLA,2020-10-05,141.12,144.55,139.78,141.89,134168400,0.77,0.54563,142.07
TSLA,2020-10-06,141.26,142.93,135.35,137.99,147438900,-3.27,-2.31,138.76
TSLA,2020-10-07,139.96,143.3,137.95,141.77,129383100,1.81,1.29,141.01
TSLA,2020-10-08,146.15,146.33,141.77,141.97,121263300,-4.18,-2.86,143.36
TSLA,2020-10-09,143.38,144.86,142.15,144.67,86777100,1.29,0.89971,143.89
TSLA,2020-10-12,147.33,149.58,146.19,147.43,116373300,0.1,0.06787484,147.74
TSLA,2020-10-13,147.78,149.63,145.53,148.88,103391100,1.1,0.74435,148.02
TSLA,2020-10-14,149.93,155.3,149.12,153.77,143639100,3.84,2.56,152.73
TSLA,2020-10-15,150.1,152.19,147.5,149.63,107017200,-0.47,-0.31312,149.77
TSLA,2020-10-16,151.48,151.98,146.28,146.56,98327700,-4.92,-3.25,148.27
TSLA,2020-10-19,148.75,149.0,142.96,143.61,108863400,-5.14,-3.46,145.19
TSLA,2020-10-20,143.92,143.92,139.68,140.65,94968900,-3.27,-2.27,141.42
TSLA,2020-10-21,140.9,144.32,140.42,140.88,97111500,-0.02,-0.01419446,141.87
TSLA,2020-10-22,147.31,148.41,141.5,141.93,119979600,-5.38,-3.65,143.95
TSLA,2020-10-23,140.61,140.96,135.79,140.21,101151000,-0.4,-0.28447,138.99
TSLA,2020-10-26,137.21,141.92,136.67,140.09,84717600,2.88,2.1,139.56
TSLA,2020-10-27,141.25,143.5,140.03,141.56,68059500,0.31,0.21947,141.7
TSLA,2020-10-28,138.83,139.53,135.33,135.34,76354200,-3.49,-2.51,136.74
TSLA,2020-10-29,136.65,139.35,135.49,136.94,67965900,0.29,0.21222,137.26
TSLA,2020-10-30,135.63,135.86,126.37,129.35,127533900,-6.28,-4.63,130.53
TSLA,2020-11-02,131.33,135.66,130.77,133.5,87063300,2.17,1.65,133.31
TSLA,2020-11-03,136.58,142.59,135.56,141.3,103055100,4.72,3.46,139.82
TSLA,2020-11-04,143.54,145.13,139.03,140.33,96429300,-3.21,-2.24,141.5
TSLA,2020-11-05,142.77,146.67,141.33,146.03,85243500,3.26,2.28,144.68
TSLA,2020-11-06,145.37,145.52,141.43,143.32,65118000,-2.05,-1.41,143.42
TSLA,2020-11-09,146.5,150.83,140.33,140.42,104499000,-6.08,-4.15,143.86
TSLA,2020-11-10,140.03,140.03,132.01,136.79,90852600,-3.24,-2.31,136.28
TSLA,2020-11-11,138.82,139.57,136.86,139.04,52073100,0.22,0.15848,138.49
TSLA,2020-11-12,138.35,141.0,136.51,137.25,59565300,-1.1,-0.79508,138.25
TSLA,2020-11-13,136.95,137.51,133.89,136.17,59313300,-0.78,-0.56955,135.85
TSLA,2020-11-16,136.31,137.48,134.7,136.03,80515800,-0.28,-0.20541,136.07
TSLA,2020-11-17,153.39,154.0,144.34,147.2,183564900,-6.19,-4.04,148.51
TSLA,2020-11-18,149.45,165.33,147.83,162.21,234132000,12.76,8.54,158.46
TSLA,2020-11-19,164.0,169.54,162.52,166.42,187425900,2.42,1.48,166.16
TSLA,2020-11-20,166.0,167.5,163.02,163.2,98735700,-2.8,-1.69,164.57
TSLA,2020-11-23,167.83,175.33,167.26,173.95,150780900,6.12,3.65,172.18
TSLA,2020-11-24,180.13,186.66,175.4,185.13,160945500,5.0,2.78,182.4
